all;Majdoor of the batch
all;Neta of the batch
all;Tharki of the batch
all;Best notes of the batch
all;Draame-baaz of the batch
all;Comedian of the batch
all;Kaam chor of the batch
all;All-rounder of the batch
all;Best sportsperson of the batch
all;Gym-freak of the batch
all;Fashionista of the batch
all;Acts like a know it all
all;Most helpful of the Batch
var;Hates $DEPT$ the most
all;Faltu doubts ki dukaan
all;God in Behasbaazi
all;Startup person of the batch
all;Jiski sabse jaan pehchan ho
all;Poltu-baaz of the batch
all;Show-off of the batch
